zip,end_date,outbreak_id,outbreak_label,anchor_date,first_detection_date,days_since_anchor,days_since_first_detection,latest_pr_excess_gt0,latest_pr_excess_gt1,latest_pr_excess_gt2,latest_pr_ratio_gt_1_10,max_pr_excess_gt0_last7,max_pr_excess_gt1_last7,max_pr_excess_gt2_last7,max_pr_ratio_gt_1_10_last7,first_excess_gt0_90_date_last7,first_excess_gt2_80_date_last7,max_pr_rate_mult_gt_1_10,max_pr_rate_mult_gt_1_25,max_pr_abs_rate_change_gt_1_10,earliest_supported_ramp_10_date,n_divergent,n_tree_max
84010,2/24/20,covid_2020,COVID-19,3/15/20,3/25/20,-20,-30,0.706666667,0.0175,8.33E-04,0.554166667,0.706666667,0.0175,8.33E-04,0.554166667,NA,NA,0.195833333,0.110833333,0.4,NA,4,0
84010,2/25/20,covid_2020,COVID-19,3/15/20,3/25/20,-19,-29,0.483333333,0.001666667,0,0.345833333,0.729166667,0.019166667,0,0.5825,NA,NA,0.185833333,0.095833333,0.385833333,NA,2,0
84010,2/26/20,covid_2020,COVID-19,3/15/20,3/25/20,-18,-28,0.509166667,0.01,0.001666667,0.371666667,0.699166667,0.010833333,0.001666667,0.565833333,NA,NA,0.1825,0.096666667,0.4,NA,3,0
84010,2/27/20,covid_2020,COVID-19,3/15/20,3/25/20,-17,-27,0.505833333,0.001666667,0,0.36,0.7,0.008333333,8.33E-04,0.583333333,NA,NA,0.184166667,0.094166667,0.42,NA,21,0
84010,2/28/20,covid_2020,COVID-19,3/15/20,3/25/20,-16,-26,0.511666667,8.33E-04,0,0.358333333,0.691666667,0.005833333,8.33E-04,0.5375,NA,NA,0.165833333,0.085833333,0.379166667,NA,3,0
84010,2/29/20,covid_2020,COVID-19,3/15/20,3/25/20,-15,-25,0.511666667,8.33E-04,0,0.369166667,0.6825,0.01,8.33E-04,0.531666667,NA,NA,0.168333333,0.086666667,0.385833333,NA,5,0
84010,3/1/20,covid_2020,COVID-19,3/15/20,3/25/20,-14,-24,0.496666667,0,0,0.355833333,0.680833333,0.006666667,8.33E-04,0.545,NA,NA,0.185,0.090833333,0.381666667,NA,2,0
84010,3/2/20,covid_2020,COVID-19,3/15/20,3/25/20,-13,-23,0.485,0.004166667,0.001666667,0.358333333,0.515,0.004166667,0.001666667,0.3725,NA,NA,0.181666667,0.095833333,0.405,NA,7,0
84010,3/3/20,covid_2020,COVID-19,3/15/20,3/25/20,-12,-22,0.496666667,0.0025,0,0.346666667,0.518333333,0.006666667,8.33E-04,0.3925,NA,NA,0.19,0.095,0.43,NA,9,0
84010,3/4/20,covid_2020,COVID-19,3/15/20,3/25/20,-11,-21,0.4825,0.0025,0,0.333333333,0.506666667,0.0025,8.33E-04,0.379166667,NA,NA,0.178333333,0.090833333,0.451666667,NA,5,0
84010,3/5/20,covid_2020,COVID-19,3/15/20,3/25/20,-10,-20,0.478333333,8.33E-04,0,0.35,0.500833333,0.003333333,0,0.3775,NA,NA,0.18,0.095,0.430833333,NA,1,0
84010,3/6/20,covid_2020,COVID-19,3/15/20,3/25/20,-9,-19,0.466666667,8.33E-04,0,0.323333333,0.515,0.003333333,8.33E-04,0.374166667,NA,NA,0.18,0.098333333,0.400833333,NA,8,0
84010,3/7/20,covid_2020,COVID-19,3/15/20,3/25/20,-8,-18,0.501666667,8.33E-04,0,0.365,0.516666667,0.003333333,8.33E-04,0.38,NA,NA,0.1725,0.0875,0.414166667,NA,4,0
84010,3/8/20,covid_2020,COVID-19,3/15/20,3/25/20,-7,-17,0.485,0.001666667,0,0.345833333,0.495833333,0.0025,0,0.363333333,NA,NA,0.195833333,0.106666667,0.4225,NA,3,0
84010,3/9/20,covid_2020,COVID-19,3/15/20,3/25/20,-6,-16,0.479166667,0.001666667,0,0.3475,0.49,0.001666667,8.33E-04,0.358333333,NA,NA,0.190833333,0.098333333,0.43,NA,1,0
84010,3/10/20,covid_2020,COVID-19,3/15/20,3/25/20,-5,-15,0.499166667,8.33E-04,0,0.3525,0.499166667,0.003333333,0.001666667,0.353333333,NA,NA,0.188333333,0.0925,0.428333333,NA,4,0
84010,3/11/20,covid_2020,COVID-19,3/15/20,3/25/20,-4,-14,0.494166667,0.003333333,0,0.3575,0.494166667,0.003333333,8.33E-04,0.3675,NA,NA,0.196666667,0.093333333,0.436666667,NA,4,0
84010,3/12/20,covid_2020,COVID-19,3/15/20,3/25/20,-3,-13,0.484166667,8.33E-04,0,0.335,0.495,0.004166667,8.33E-04,0.360833333,NA,NA,0.19,0.105,0.446666667,NA,5,0
84010,3/13/20,covid_2020,COVID-19,3/15/20,3/25/20,-2,-12,0.4975,0,0,0.341666667,0.500833333,0,0,0.345833333,NA,NA,0.189166667,0.101666667,0.454166667,NA,3,0
84010,3/14/20,covid_2020,COVID-19,3/15/20,3/25/20,-1,-11,0.489166667,0,0,0.348333333,0.500833333,0.001666667,8.33E-04,0.359166667,NA,NA,0.169166667,0.086666667,0.433333333,NA,2,0
84010,3/15/20,covid_2020,COVID-19,3/15/20,3/25/20,0,-10,0.488333333,0.0025,0,0.349166667,0.505,0.0025,8.33E-04,0.380833333,NA,NA,0.178333333,0.0925,0.44,NA,3,0
